Fish_type Location_name latitude longitude
unknown Twin_(Vrag) 56.01.560 12.36.672
unknown Urania_(Vrag) 56.17.676 12.17.822
unknown Valencia_S/S 56.11.037 12.17.174
unknown Ågil_(Vrag) 56.10.455 12.27.194
unknown Otto_(Vrag) 56.04.108 12.37.647
unknown Wargon_(Vrag) 56.04.889 12.36.198
unknown Rezlff_Emil_(Vrag) 56.04.308 12.38.033
unknown Benzinøen_(Vrag) 55.41.169 12.38.519
unknown Gunda_Wal_(Vrag) 56.04.889 12.34.458
unknown Snarenssvend_(Vrag) 55.59.475 12.36.928
unknown Stine_(Vrag) 55.40.120 12.42.095
unknown Flyvemaskine 56.00.348 12.41.013
unknown Fremad_(Vrag) 55.59.244 12.37.577
unknown Kalle_(Vrag) 55.58.798 12.38.080
unknown Polaris_(Vrag) 56.06.626 12.34.773
unknown Julie_(Vrag) 56.14.458 12.24.825
unknown Landgangsbåden_(Vrag) 55.50.631 12.45.448
unknown Leda_(Vrag) 55.54.494 12.37.938
unknown Minestryger_(Vrag) 56.08.757 12.28.655
unknown Johanne_(Vrag) 56.19.693 12.23.342
unknown Jylland_(Vrag) 56.00.457 12.36.247
unknown K7_(Vrag) 55.59.209 12.38.312
unknown Robert_(Vrag) 55.55.537 12.43.232
unknown Ørkenen_(Skrænt) 56.03.056 12.38.886
unknown Ørkenen_(Grund) 56.06.548 12.34.103
unknown Cowboykant_1_(Skrænt) 56.05.625 12.35.426
unknown Cowboykant_2_(Skrænt) 56.05.598 12.35.123
unknown Cowboykant_3_(Skrænt) 56.05.578 12.35.373
unknown Muslingerne_(Skrænt) 56.03.289 12.39.129
unknown Makrel_1_(Skrænt) 56.03.328 12.39.017
unknown Makrel_2_(Skrænt) 56.02.234 12.37.513
unknown Makrel_3_(Skrænt) 55.55.591 12.40.806
unknown Grænsen_(Skrænt) 56.02.597 12.39.262
unknown Gubbi_(Knold) 55.55.084 12.37.641
unknown Gylletønden 56.06.048 12.34.123
unknown Grolle_Grund 56.06.468 12.35.313
unknown Susannes_Flak_(Skrænt) 55.52.147 12.44.544
unknown Staffans_Banke 55.53.467 12.45.423
unknown Kobberværket_(Grund) 56.00.020 12.41.540
unknown Disken_(Grund) 56.00.299 12.38.499
unknown Algetønden_1_(Knold) 56.05.877 12.34.517
unknown Algetønden_2 56.06.108 12.34.103
unknown 25_Meteren 56.04.128 12.39.043
unknown DM_Knolden_1_(Knold) 56.03.056 12.38.886
unknown DM_Knolden_2_(Knold) 56.03.058 12.39.283
unknown DM_Knolden_3_(Knold) 56.03.148 12.36.573
unknown DM_Knolden_4_(Knold) 56.03.068 12.39.303
unknown Forbudte_1_(Knold) 56.02.206 12.39.496
unknown Forbudte_2_(Knold) 56.00.318 12.40.123
unknown Hukommelsen_1_(Knold) 55.55.778 12.38.761
unknown Hukommelsen_2_(Knold) 55.56.268 12.38.593
unknown Fedterøven_1_(Knold) 55.54.955 12.44.157
unknown Fedterøven_2_(Knold) 55.55.358 12.44.153
unknown Fredagsknolden_(Knold) 55.56.248 12.46.083
unknown Ebbes_(Knold) 55.52.890 12.44.630
unknown Vandias_1_(Knold) 56.01.307 12.39.971
unknown Pålsjø_1_(Knold/Hul) 56.03.866 12.38.346
unknown Pålsjø_2_(Knold) 56.03.538 12.39.073
unknown Pålsjø_3_(Knold) 56.04.178 12.38.493
unknown Pålsjø_4_(Knold) 56.04.268 12.38.343
unknown Pålsjø_5_(Knold) 56.04.158 12.39.093
unknown Vestre_Dyb 55.59.117 12.38.423
unknown Østre_Dyb 55.54.118 12.44.423
unknown SV_Bulen 55.49.307 12.42.034
unknown Sommerhullet 55.47.067 12.46.374
unknown Koraldybet_ved_ven 55.55.467 12.42.424
unknown Store_Middelgrund 56.33.058 12.04.463
unknown Rungsted_Huller_(Knold/Hul) 55.54.315 12.36.166
unknown Skodsborg_Hullerne 55.49.118 12.41.024
unknown Trapperne_1_(Skrænt) 56.04.901 12.37.151
unknown Trapperne_2_(Knold) 56.04.308 12.37.373
unknown Trapperne_3 56.05.418 12.37.373
unknown Trapperne_4 56.05.028 12.37.083
unknown Trapperne_5 56.05.308 12.37.373
unknown Hittraprevet_(Grund) 56.05.408 12.36.353
unknown Gylleknolden_(Knold) 56.04.418 12.38.163
unknown Lappegrunden_(Grund) 56.03.168 12.38.423
unknown Fladfisk_1_(Grund) 56.01.604 12.37.800
unknown Fladfisk_2_(Grund) 56.04.671 12.33.988
unknown Fladfisk_3_(Grund) 55.55.119 12.39.437
unknown Fladfisk_4_(Grund) 55.51.055 12.38.558
unknown Havørred_1_(TROLLING) 55.58.936 12.36.713
unknown Havørred_2_(TROLLING) 56.01.468 12.38.423
unknown Trævrag_(Vrag) 54.53.323 12.35.490
unknown Bakkely_(Vrag) 54.55.903 12.40.248
unknown Explore_(Vrag) 54.56.864 12.35.603
unknown Hjuldamper_(Vrag) 54.56.904 12.38.304
unknown 28_meter_top 56.02.940 15.05.500
unknown Banke_start 56.03.430 15.05.780
unknown Banke_slut 56.03.206 15.06.302
unknown Banke_top_29_m. 56.00.352 15.10.403
unknown Bankeområde 55.59.313 15.11.022
unknown Grundområde_med_mange_pladser 56.03.572 15.02.184
unknown Navn_ukendt 55.37.260 14.36.400
unknown Navn_ukendt 55.47.430 15.05.860
unknown Navn_ukendt 55.47.700 15.06.200
unknown Navn_ukendt 56.05.943 14.58.870
unknown Navn_ukendt 55.39.600 14.38.700
unknown Navn_ukendt 56.04.630 14.58.297
unknown Navn_ukendt 56.05.831 14.59.159
unknown Navn_ukendt 56.03.118 14.59.930
unknown Navn_ukendt 56.02.891 14.57.792
unknown Navn_ukendt 56.00.891 14.52.502
unknown Navn_ukendt 55.47.600 15.05.360
unknown Navn_ukendt 55.34.200 14.39.500
unknown Navn_ukendt 55.39.500 14.39.400
unknown Navn_ukendt 56.04.826 14.58.060
unknown Område_m._toppe_30_m. 55.59.301 15.05.923
unknown Område_m.knolde_&_rev 56.01.838 14.56.446
unknown Rev_begynder 55.59.750 15.00.554
unknown Top_26_m. 56.03.891 15.06.902
