Fish_type,Location_name,latitude,longitude
unknown,Hul3,55.519888888888886,12.49536111111111
unknown,Hul4,55.51711111111111,12.51925
unknown,Kompasrosen,55.43344444444444,12.543722222222222
unknown,Mandehoved,55.35763888888889,12.458083333333333
unknown,Prikken,55.46969444444445,12.28638888888889
unknown,Sønakken,55.415277777777774,12.39611111111111
unknown,Sønakken,55.408611111111114,12.417777777777777
unknown,Sønakken sommerplads,55.39127777777778,12.510111111111112
unknown,Stevns dyb rende nord1,55.36888888888889,12.500833333333333
unknown,Stevns dyb rende nord2,55.367416666666664,12.494555555555555
unknown,Stevns kant af rende,55.35777777777778,12.527777777777779
unknown,Stevns østlige kant,55.34722222222222,12.483333333333333
unknown,Juels Grund,55.458333333333336,12.369444444444444
unknown,Juels Grund Sydspids,55.434999999999995,12.351944444444445
